Box	Ft	Owner	ID Number	Type	Notes	Producer	SKU	Stat	Cat
67	59	AC	204	GP38-2	Algoma twin to Greg's unit 202	Athearn		f	l
531	69	AMTK	1	P42	"Phase III, DC"	Athearn	3640	f	l
1501	69	AMTK	113	P42	"Phase V, low stripe, DC"	Athearn	99230	f	l
1113	69	AMTK	115	P42	"Phase IV, DC"	Athearn	3641	f	l
1112	69	AMTK	117	P42	"Phase IV, DC"	Athearn	3641	f	l
666	69	AMTK	120	P42	"Phase IV, DC"	Athearn	3641	f	l
1038	69	AMTK	121	P42	"Phase IV, DC"	Athearn	3641	f	l
1202	69	AMTK	129	P42	"Phase V, high stripe, DC"	Athearn	9669	f	l
2199	69	AMTK	132	P42	"Phase V, low stripe, DC"	Athearn	99448	f	l
1302	69	AMTK	140	P42	"Phase V, high stripe, DC"	Athearn	9669	f	l
1040	69	AMTK	141	P42	"Phase V, high stripe, DC"	Athearn	9617	f	l
1378	69	AMTK	147	P42	"Phase V, low stripe, DC"	Athearn	99177	f	l
2755	69	AMTK	150	P42	"Phase V, low stripe, DC"	Kato	37-6109	f	l
2195	69	AMTK	156	P42	"Phase I, Anniversary scheme, DC"	Athearn	99450	f	l
1500	69	AMTK	167	P42	"Phase V, low stripe, DC"	Athearn	99229	f	l
1921	69	AMTK	178	P42	"Phase V, low stripe, DC"	Athearn	99338	f	l
1377	69	AMTK	180	P42	"Phase V, low stripe, DC"	Athearn	99176	f	l
2449	69	AMTK	184	P42	"Phase IV, 2011 Anniversary unit, DCC/S"	Kato	37-6107-LS	f	l
737	60	AMTK	2006	Acela Loco	"Phase V, Powered, DC"	Bachmann	81949	f	l
738	60	AMTK	2007	Acela Loco	"Phase V, dummy"	Bachmann	81949	f	l
1203	69	AMTK	201	P42	"Phase V, low stripe, DC"	Athearn	9670	f	l
2754	56	AMTK	203	F40PH	"Phase III, DCC/S"	Rapido	83501	f	l
2528	56	AMTK	216	F40PH	"Phase II, DCC/S"	Rapido	80538	f	l
2536	56	AMTK	227	F40PH	"Phase III, DCC/S"	Rapido	80546	f	l
780	56	AMTK	228	F40PH	"Phase II, Under const"	Walthers	931-300	k	l
2526	56	AMTK	228	F40PH	"Phase III, DCC/S"	Rapido	80547	f	l
779	56	AMTK	243	F40PH	"Phase II, Under const"	Walthers	931-300	k	l
2210	70	AMTK	251	E8A	"Phase I, DCC/S"	Walthers	920-41366	f	l
2211	70	AMTK	254	E8A	"Phase I, DCC/S"	Walthers	920-41367	f	l
781	56	AMTK	265	F40PH	"Phase II, Under const"	Walthers	931-300	k	l
765	56	AMTK	280	F40PH	"Phase II, Under const"	Walthers	931.3	k	l
2153	56	AMTK	358	F40PH	"Phase III, DC"	Kato	37-6553	f	l
71	56	AMTK	372	F40PH	"Phase III, DC"	Front Range	TVK	f	l
2151	56	AMTK	372	F40PH	"Phase III, DC"	Kato	37-6553	f	l
2152	56	AMTK	373	F40PH	"Phase III, DC"	Kato	37-6553	f	l
70	56	AMTK	373	F40PH	"Phase III, DC, Walthers repower"	Front Range	TVK	f	l
2781	56	AMTK	375	F40PH	"Phase III, DC, to be 375"	Kato	37-6551	d	l
2154	56	AMTK	378	F40PH	"Phase III, DC"	Kato	37-6553	f	l
2488	64	AMTK	38	LRC	"Phase III, white, needs details, DCC installed"	Rapido	200011	k	l
2489	64	AMTK	39	LRC	"Phase III, white, needs details, DCC/S installed"	Rapido	200012	k	l
